#{"t_start": 1789608415.906354, "env_id": "None"}
r,l,t
103.7,13,2.563733
88.0,20,2.565638
88.1,19,2.56744
103.9,11,2.56853
88.7,13,2.56976
103.6,13,2.570993
88.5,16,2.572544
87.8,23,2.574712
72.7,23,2.576829
87.9,21,2.578766
103.2,18,2.580445
103.6,14,2.581755
103.4,16,2.583246
103.6,14,2.584657
87.9,20,2.586586
103.5,15,2.587994
103.6,14,2.589286
118.7,13,2.590511
118.4,17,2.592081
88.5,16,2.593572
103.1,19,2.595292
88.0,20,2.597224
103.6,15,2.598651
103.0,19,2.600516
87.5,24,2.602783
103.6,14,2.604083
103.4,16,2.605558
102.7,23,2.607653
88.6,14,2.60898
117.7,22,2.610993
103.2,18,2.612611
118.5,15,2.613979
118.4,16,2.615415
103.3,17,2.61696
133.7,13,2.618123
103.7,13,2.619294
103.3,17,2.620828
118.6,14,2.622085
117.7,22,2.624094
103.6,14,2.625358
132.5,26,2.627704
88.3,17,2.629224
72.6,22,2.63118
88.1,19,2.63288
103.5,15,2.634233
103.5,15,2.635594
103.7,13,2.636773
118.7,13,2.637947
117.6,23,2.640009
103.4,16,2.641452
103.2,18,2.643071
103.8,12,2.644155
103.6,14,2.645414
87.8,23,2.64747
103.5,16,2.648898
103.4,16,2.65033
103.4,16,2.651763
103.5,15,2.65311
103.3,17,2.654637
88.0,20,2.656429
103.9,11,2.65742
103.8,12,2.658508
88.6,14,2.659763
88.5,15,2.661106
103.7,13,2.662265
103.8,12,2.663351
72.5,25,2.665585
103.3,16,2.667037
87.7,23,2.669078
87.8,24,2.671222
103.3,17,2.672738
88.2,18,2.674347
103.9,11,2.675337
88.0,21,2.677217
73.1,19,2.678918
117.7,22,2.680892
88.5,15,2.682232
73.1,19,2.879904
103.8,12,2.881101
73.1,19,2.882838
88.1,18,2.884486
103.7,13,2.885663
103.7,13,2.886829
103.4,16,2.888264
103.8,12,2.889345
88.4,16,2.890791
88.3,16,2.892226
88.3,18,2.893836
103.5,15,2.895184
72.9,21,2.897055
103.9,11,2.898053
103.0,19,2.899776
103.5,13,2.900969
103.8,12,2.902136
103.7,14,2.903466
88.8,13,2.904658
87.8,23,2.906966
88.7,13,2.908273
103.6,14,2.909637
88.4,16,2.911156
118.1,19,2.912958
